x;Own;IntentToBuy;BrandAwareness_Anker;BrandAwareness_Bose;BrandAwareness_JBL;BrandAwareness_Philips;BrandAwareness_Sony;BrandAwareness_UE;BrandAwareness_HarmanKardon;BrandAwareness_Beats;BrandAwareness_None;SubjKnow_r1;SubjKnow_r2;SubjKnow_r3;SubjKnow_r4;SubjKnow_r5;PII_1;PII_2;PII_3;PII_4;PII_5;RelImp_battery;RelImp_weight;RelImp_price;RelImp_sound;Gender;Age;Occupation;Education;Income;brand_awareness;fa;fa2;factor_price.sound;factor_battery;factor_weight;factor_age.occupation.income.education;clusters
71;0;0;0;1;0;1;1;0;0;1;0;4;5;3;5;5;3;3;4;3;4;20;0;40;40;1;2;3;4;1;5;0.413161813;-0.705390602;0.315830822;-0.309654206;-1.206386089;-0.700611317;1
72;1;0;0;1;1;0;0;0;0;0;0;6;3;5;3;3;7;7;7;7;7;50;5;5;40;2;2;2;2;4;3;0.10302539;1.957449871;-0.948616322;2.00034314;-0.634819073;-0.021405635;4
73;1;0;1;1;1;0;0;0;0;0;0;4;5;2;5;5;6;4;5;4;6;25;10;35;30;2;3;1;4;4;4;0.351638501;0.372130988;0.413953411;0.110918621;-0.163807456;0.800335202;4
74;1;0;0;1;0;0;0;0;0;0;0;6;7;3;3;7;6;5;6;7;6;20;10;20;50;2;3;2;4;7;2;1.273190387;1.252405072;-0.712401918;-0.29670957;-0.170435267;1.159620668;3
75;0;0;0;1;0;0;0;0;0;0;0;2;7;1;2;1;4;4;3;4;5;10;10;30;50;1;2;3;3;1;2;-0.937877461;-0.313336298;-0.35347336;-1.062489737;-0.188499493;-0.857463289;1
76;0;1;0;1;1;0;0;0;0;1;0;2;2;2;2;2;4;4;5;4;5;25;15;30;30;1;2;3;5;2;4;-1.234946441;0.018290474;0.226291943;0.123575466;0.353566879;-0.318393495;2
77;0;0;0;1;1;0;0;0;0;0;0;2;2;2;2;2;4;4;4;4;4;10;10;30;50;2;3;1;3;4;3;-1.234946441;-0.213593357;-0.35347336;-1.062489737;-0.188499493;0.64348323;4
79;0;1;0;0;1;0;0;0;0;0;0;3;2;2;2;2;4;4;4;4;4;2;0;90;8;2;4;2;3;2;2;-1.047584366;-0.213593357;3.051213602;-1.648477534;-1.242748581;0.067164265;2
80;0;0;0;1;1;1;1;0;0;0;0;5;5;2;6;6;6;6;6;6;6;30;10;35;25;2;3;3;3;2;5;0.829304974;1.233768795;0.560944034;0.499993232;-0.155376418;-0.440872628;4
81;1;0;0;0;1;0;0;1;0;0;0;4;5;4;7;6;5;5;5;5;5;20;15;40;25;1;3;3;3;2;3;0.845640215;0.510087719;0.732211124;-0.25313009;0.34393369;-0.440872628;1
82;1;0;1;1;1;0;1;1;1;1;0;6;6;5;6;6;7;6;7;6;7;15;5;30;50;2;3;3;3;2;8;1.314886183;1.609537661;-0.345276171;-0.692256499;-0.696841715;-0.440872628;4
83;1;1;0;1;1;0;1;0;0;1;0;4;4;4;4;4;5;5;5;4;5;20;10;35;35;1;3;3;4;1;5;0.070731527;0.326813475;0.266962788;-0.278155989;-0.172238494;-0.509386504;2
84;0;0;0;1;1;0;0;0;0;1;0;2;2;1;3;2;3;2;4;3;2;10;5;25;60;2;2;3;4;1;4;-1.21581906;-1.002169459;-0.818721696;-1.087515636;-0.704671677;-0.700611317;4
85;1;0;0;1;1;1;1;1;1;0;0;5;5;3;4;5;5;6;5;7;5;10;5;15;70;2;2;3;3;3;7;0.519873195;1.041274173;-1.4716315;-1.09988469;-0.703469526;-0.406731592;4
86;1;1;0;0;0;0;0;1;0;0;0;5;5;4;2;4;5;4;6;5;5;40;1;19;40;2;2;3;2;2;2;0.210441416;0.511263139;-0.439558589;1.224437497;-1.066782768;-0.788949413;2
87;0;0;1;1;0;1;1;0;0;1;0;2;2;4;4;2;4;4;5;4;5;20;10;50;20;2;3;2;4;1;6;-0.950598433;0.018290474;1.246327494;-0.259602408;-0.174041721;-0.192574424;4
88;0;1;0;1;1;1;1;0;0;1;0;2;2;1;4;2;4;4;5;4;5;30;0;30;40;2;3;1;4;5;6;-1.135168367;0.018290474;-0.043097737;0.456125961;-1.188321862;1.025701051;2
89;1;1;0;0;1;0;0;0;0;1;0;5;5;4;3;5;5;5;5;4;4;30;5;15;50;2;3;2;4;3;3;0.500745814;0.260743029;-0.883669009;0.456413752;-0.669745375;0.258157273;2
91;0;1;0;1;0;1;0;0;0;0;0;3;4;3;4;3;4;5;4;5;4;25;25;25;25;1;2;3;4;2;3;-0.387807565;0.134318853;0.177423908;0.155073683;1.387714475;-0.475245468;2
92;1;0;0;1;0;1;1;0;0;1;0;3;3;5;5;5;5;5;5;5;5;20;20;30;30;2;3;1;4;3;5;0.121547962;0.510087719;0.218094754;-0.246657772;0.861909101;0.574969353;4
93;1;1;0;0;0;1;1;0;0;1;0;4;5;2;5;5;5;5;5;5;4;5;5;40;50;1;3;3;4;4;4;0.351638501;0.444017273;0.013652388;-1.458036666;-0.714905942;0.166711042;2
94;1;1;0;0;1;0;0;0;1;1;0;7;1;7;7;7;4;5;7;6;1;10;15;10;65;2;4;1;4;2;4;1.347353282;0.616821919;-1.520499534;-1.068386473;0.330678069;0.540828317;2
95;1;0;0;1;1;1;1;0;0;0;0;3;3;3;4;3;2;3;2;2;3;20;15;5;60;2;8;1;2;7;5;-0.501456765;-1.430247098;-1.552973191;-0.296421779;0.34814122;2.118852865;3
96;0;0;0;1;0;0;0;0;0;0;0;2;2;1;2;2;1;1;1;1;1;10;30;60;0;2;5;1;3;3;2;-1.296469752;-2.384636586;2.160429789;-0.950017088;1.874987092;0.800567006;3
97;0;0;0;1;0;1;1;0;0;0;0;2;2;2;3;2;4;3;4;4;4;30;30;10;30;1;8;1;2;3;4;-1.154295748;-0.378231324;-0.516156741;0.544436085;1.914721999;1.21738947;3
98;0;1;0;0;0;0;0;0;0;1;0;2;4;2;5;4;5;5;5;3;4;30;0;40;30;2;3;1;2;3;2;-0.346388553;0.077468785;0.609812068;0.468495015;-1.189524013;0.261265409;2
99;0;0;0;1;1;0;1;0;0;1;0;4;6;3;5;4;2;2;2;2;2;10;10;40;40;2;3;1;4;2;5;0.317157307;-1.66095551;0.299436445;-1.050120683;-0.189701645;0.349603505;4
100;1;0;0;0;0;0;0;0;0;1;0;5;3;4;4;3;5;2;1;4;4;40;10;20;30;2;3;3;2;2;2;-0.065209304;-0.896424415;-0.124439427;1.259588872;-0.136711116;-0.5977246;4
